from charingCross to london
at 14:00 this tuesday
[O--------------------------------------------------]0 seconds to go.  loc not valid  51.713371 , -0.518899 .
[II----------------------------------O--------------]23 seconds to go.  loc not valid  51.6985456909 , 0.0637346086957 .
[II-----------------------------------O-------------]22 seconds to go.  loc not valid  51.6985456909 , 0.0751587971014 .
[II-----------------------------------O-------------]22 seconds to go.  loc not valid  51.6985456909 , 0.0865829855072 .
[II------------------------------------O------------]22 seconds to go.  loc not valid  51.6985456909 , 0.098007173913 .
[II-------------------------------------O-----------]22 seconds to go.  loc not valid  51.6985456909 , 0.109431362319 .
[II--------------------------------------O----------]25 seconds to go.  loc not valid  51.6985456909 , 0.120855550725 .
[II--------------------------------------O----------]27 seconds to go.  loc not valid  51.6985456909 , 0.13227973913 .
[II---------------------------------------O---------]41 seconds to go.  loc not valid  51.6985456909 , 0.143703927536 .
[II----------------------------------------O--------]42 seconds to go.  loc not valid  51.6985456909 , 0.155128115942 .
[II----------------------------------------O--------]32 seconds to go.  loc not valid  51.6985456909 , 0.166552304348 .
[II-----------------------------------------O-------]31 seconds to go.  loc not valid  51.6985456909 , 0.177976492754 .
[II------------------------------------------O------]23 seconds to go.  loc not valid  51.6985456909 , 0.189400681159 .
[II-------------------------------------------O-----]39 seconds to go.  loc not valid  51.6985456909 , 0.200824869565 .
[II-------------------------------------------O-----]41 seconds to go.  loc not valid  51.6985456909 , 0.212249057971 .
[II--------------------------------------------O----]33 seconds to go.  loc not valid  51.6985456909 , 0.223673246377 .
[II---------------------------------------------O---]25 seconds to go.  loc not valid  51.6985456909 , 0.235097434783 .
[II---------------------------------------------O---]28 seconds to go.  loc not valid  51.6985456909 , 0.246521623188 .
[II----------------------------------------------O--]26 seconds to go.  loc not valid  51.6985456909 , 0.257945811594 .
[II-----------------------------------------------O-]24 seconds to go.  loc not valid  51.6985456909 , 0.26937 .
[OIII-----------------------------------------------]51 seconds to go.  loc not valid  51.6911330364 , -0.518899 .
[OIII-----------------------------------------------]36 seconds to go.  loc not valid  51.6911330364 , -0.507474811594 .
[IOII-----------------------------------------------]24 seconds to go.  loc not valid  51.6911330364 , -0.496050623188 .
[IIOI-----------------------------------------------]25 seconds to go.  loc not valid  51.6911330364 , -0.484626434783 .
[IIOI-----------------------------------------------]26 seconds to go.  loc not valid  51.6911330364 , -0.473202246377 .
[IIIO-----------------------------------------------]25 seconds to go.  loc not valid  51.6911330364 , -0.461778057971 .
[III-O----------------------------------------------]36 seconds to go.  loc not valid  51.6911330364 , -0.450353869565 .
[III--O---------------------------------------------]35 seconds to go.  loc not valid  51.6911330364 , -0.438929681159 .
[III--O---------------------------------------------]30 seconds to go.  loc not valid  51.6911330364 , -0.427505492754 .
[III---O--------------------------------------------]24 seconds to go.  loc not valid  51.6911330364 , -0.416081304348 .
[III----O-------------------------------------------]44 seconds to go.  loc not valid  51.6911330364 , -0.404657115942 .
[III----O-------------------------------------------]30 seconds to go.  loc not valid  51.6911330364 , -0.393232927536 .
[III-----O------------------------------------------]24 seconds to go.  loc not valid  51.6911330364 , -0.38180873913 .
[III------O-----------------------------------------]23 seconds to go.  loc not valid  51.6911330364 , -0.370384550725 .
[III-------O----------------------------------------]32 seconds to go.  loc not valid  51.6911330364 , -0.358960362319 .
[III-------O----------------------------------------]51 seconds to go.  loc not valid  51.6911330364 , -0.347536173913 .
[III--------O---------------------------------------]29 seconds to go.  loc not valid  51.6911330364 , -0.336111985507 .
[III---------O--------------------------------------]29 seconds to go.  loc not valid  51.6911330364 , -0.324687797101 .
[III---------O--------------------------------------]50 seconds to go.  loc not valid  51.6911330364 , -0.313263608696 .
[III----------O-------------------------------------]30 seconds to go.  loc not valid  51.6911330364 , -0.30183942029 .
[III-----------O------------------------------------]23 seconds to go.  loc not valid  51.6911330364 , -0.290415231884 .
[III------------O-----------------------------------]24 seconds to go.  loc not valid  51.6911330364 , -0.278991043478 .
[III------------O-----------------------------------]47 seconds to go.  loc not valid  51.6911330364 , -0.267566855072 .
[III-------------O----------------------------------]27 seconds to go.  loc not valid  51.6911330364 , -0.256142666667 .
[III--------------O---------------------------------]34 seconds to go.  loc not valid  51.6911330364 , -0.244718478261 .
[III--------------O---------------------------------]44 seconds to go.  loc not valid  51.6911330364 , -0.233294289855 .
[III---------------O--------------------------------]27 seconds to go.  loc not valid  51.6911330364 , -0.221870101449 .
[III----------------O-------------------------------]23 seconds to go.  loc not valid  51.6911330364 , -0.210445913043 .
[III-----------------O------------------------------]24 seconds to go.  loc not valid  51.6911330364 , -0.199021724638 .
[III-----------------O------------------------------]24 seconds to go.  loc not valid  51.6911330364 , -0.187597536232 .
[III------------------O-----------------------------]30 seconds to go.  loc not valid  51.6911330364 , -0.176173347826 .
[III-------------------O----------------------------]46 seconds to go.  loc not valid  51.6911330364 , -0.16474915942 .
[III-------------------O----------------------------]31 seconds to go.  loc not valid  51.6911330364 , -0.153324971014 .
[III--------------------O---------------------------]38 seconds to go.  .
[III---------------------O--------------------------]36 seconds to go.  .
[III----------------------O-------------------------]24 seconds to go.  .
[III----------------------O-------------------------]27 seconds to go.  .
[III-----------------------O------------------------]22 seconds to go.  .
[III------------------------O-----------------------]22 seconds to go.  .
[III------------------------O-----------------------]40 seconds to go.  loc not valid  51.6911330364 , -0.0733556521739 .
[III-------------------------O----------------------]31 seconds to go.  loc not valid  51.6911330364 , -0.0619314637681 .
[III--------------------------O---------------------]30 seconds to go.  loc not valid  51.6911330364 , -0.0505072753623 .
[III---------------------------O--------------------]38 seconds to go.  loc not valid  51.6911330364 , -0.0390830869565 .
[III---------------------------O--------------------]33 seconds to go.  loc not valid  51.6911330364 , -0.0276588985507 .
[III----------------------------O-------------------]30 seconds to go.  loc not valid  51.6911330364 , -0.0162347101449 .
[III-----------------------------O------------------]25 seconds to go.  loc not valid  51.6911330364 , -0.00481052173913 .
[III-----------------------------O------------------]35 seconds to go.  loc not valid  51.6911330364 , 0.00661366666667 .
[III------------------------------O-----------------]31 seconds to go.  loc not valid  51.6911330364 , 0.0180378550725 .
[III-------------------------------O----------------]29 seconds to go.  loc not valid  51.6911330364 , 0.0294620434783 .
[III--------------------------------O---------------]37 seconds to go.  loc not valid  51.6911330364 , 0.0408862318841 .
[III--------------------------------O---------------]40 seconds to go.  loc not valid  51.6911330364 , 0.0523104202899 .
[III---------------------------------O--------------]38 seconds to go.  loc not valid  51.6911330364 , 0.0637346086957 .
[III----------------------------------O-------------]35 seconds to go.  loc not valid  51.6911330364 , 0.0751587971014 .
[III----------------------------------O-------------]30 seconds to go.  loc not valid  51.6911330364 , 0.0865829855072 .
[III-----------------------------------O------------]30 seconds to go.  loc not valid  51.6911330364 , 0.098007173913 .
[III------------------------------------O-----------]38 seconds to go.  loc not valid  51.6911330364 , 0.109431362319 .
[III-------------------------------------O----------]23 seconds to go.  loc not valid  51.6911330364 , 0.120855550725 .
[III-------------------------------------O----------]51 seconds to go.  loc not valid  51.6911330364 , 0.13227973913 .
[III--------------------------------------O---------]41 seconds to go.  loc not valid  51.6911330364 , 0.143703927536 .
[III---------------------------------------O--------]40 seconds to go.  loc not valid  51.6911330364 , 0.155128115942 .
[III---------------------------------------O--------]29 seconds to go.  loc not valid  51.6911330364 , 0.166552304348 .
[III----------------------------------------O-------]23 seconds to go.  loc not valid  51.6911330364 , 0.177976492754 .
[III-----------------------------------------O------]33 seconds to go.  loc not valid  51.6911330364 , 0.189400681159 .
[III------------------------------------------O-----]28 seconds to go.  loc not valid  51.6911330364 , 0.200824869565 .
[III------------------------------------------O-----]26 seconds to go.  loc not valid  51.6911330364 , 0.212249057971 .
[III-------------------------------------------O----]26 seconds to go.  loc not valid  51.6911330364 , 0.223673246377 .
[III--------------------------------------------O---]31 seconds to go.  loc not valid  51.6911330364 , 0.235097434783 .
[III--------------------------------------------O---]32 seconds to go.  loc not valid  51.6911330364 , 0.246521623188 .
[III---------------------------------------------O--]27 seconds to go.  loc not valid  51.6911330364 , 0.257945811594 .
[III----------------------------------------------O-]22 seconds to go.  loc not valid  51.6911330364 , 0.26937 .
[OIIII----------------------------------------------]22 seconds to go.  loc not valid  51.6837203818 , -0.518899 .
[OIIII----------------------------------------------]37 seconds to go.  loc not valid  51.6837203818 , -0.507474811594 .
[IOIII----------------------------------------------]30 seconds to go.  loc not valid  51.6837203818 , -0.496050623188 .
[IIOII----------------------------------------------]39 seconds to go.  loc not valid  51.6837203818 , -0.484626434783 .
[IIOII----------------------------------------------]29 seconds to go.  loc not valid  51.6837203818 , -0.473202246377 .
[IIIOI----------------------------------------------]33 seconds to go.  loc not valid  51.6837203818 , -0.461778057971 .
[IIIIO----------------------------------------------]30 seconds to go.  loc not valid  51.6837203818 , -0.450353869565 .
[IIII-O---------------------------------------------]24 seconds to go.  loc not valid  51.6837203818 , -0.438929681159 .
[IIII-O---------------------------------------------]24 seconds to go.  loc not valid  51.6837203818 , -0.427505492754 .
[IIII--O--------------------------------------------]45 seconds to go.  loc not valid  51.6837203818 , -0.416081304348 .
[IIII---O-------------------------------------------]39 seconds to go.  loc not valid  51.6837203818 , -0.404657115942 .
[IIII---O-------------------------------------------]24 seconds to go.  loc not valid  51.6837203818 , -0.393232927536 .
[IIII----O------------------------------------------]24 seconds to go.  loc not valid  51.6837203818 , -0.38180873913 .
[IIII-----O-----------------------------------------]27 seconds to go.  loc not valid  51.6837203818 , -0.370384550725 .
[IIII------O----------------------------------------]25 seconds to go.  loc not valid  51.6837203818 , -0.358960362319 .
[IIII------O----------------------------------------]24 seconds to go.  loc not valid  51.6837203818 , -0.347536173913 .
[IIII-------O---------------------------------------]28 seconds to go.  loc not valid  51.6837203818 , -0.336111985507 .
